"","id","birthDate"
"1",8448208,"1972-02-15"
"2",8455710,"1972-05-06"
"3",8457063,"1970-04-28"
"4",8457981,"1970-07-03"
"5",8458525,"1973-02-21"
"6",8458529,"1973-02-24"
"7",8458537,"1972-05-08"
"8",8458541,"1973-07-28"
"9",8458590,"1972-07-04"
"10",8458637,"1971-10-13"
"11",8458938,"1974-04-12"
"12",8458951,"1974-04-13"
"13",8459053,"1973-07-03"
"14",8459140,"1973-01-13"
"15",8459424,"1974-10-10"
"16",8459429,"1974-10-11"
"17",8459442,"1974-11-23"
"18",8459444,"1975-02-02"
"19",8459454,"1974-12-27"
"20",8459457,"1975-07-24"
"21",8459461,"1975-08-15"
"22",8459492,"1975-02-17"
"23",8459514,"1974-10-24"
"24",8459596,"1973-08-24"
"25",8459628,"1975-04-06"
"26",8459670,"1975-03-18"
"27",8459687,"1974-12-31"
"28",8460465,"1976-11-19"
"29",8460492,"1976-06-26"
"30",8460496,"1976-02-21"
"31",8460504,"1975-09-22"
"32",8460535,"1976-09-13"
"33",8460541,"1976-05-27"
"34",8460542,"1976-04-13"
"35",8460561,"1976-07-13"
"36",8460577,"1976-02-14"
"37",8460612,"1975-08-13"
"38",8460621,"1972-12-11"
"39",8460626,"1976-02-11"
"40",8460703,"1974-04-15"
"41",8460704,"1973-05-05"
"42",8460705,"1975-07-25"
"43",8460712,"1976-07-02"
"44",8460719,"1974-07-06"
"45",8460720,"1976-08-17"
"46",8460743,"1973-01-23"
"47",8460806,"1969-10-12"
"48",8462033,"1977-06-12"
"49",8462038,"1976-10-10"
"50",8462041,"1977-03-09"
"51",8462042,"1977-07-01"
"52",8462044,"1977-05-16"
"53",8462047,"1977-08-15"
"54",8462052,"1977-01-02"
"55",8462077,"1977-06-21"
"56",8462129,"1977-03-11"
"57",8462147,"1976-10-26"
"58",8462152,"1976-04-20"
"59",8462161,"1977-03-12"
"60",8462196,"1977-03-03"
"61",8462225,"1976-12-29"
"62",8462535,"1976-02-07"
"63",8464956,"1978-03-09"
"64",8464967,"1977-02-26"
"65",8464975,"1977-10-06"
"66",8464977,"1978-06-16"
"67",8464979,"1978-09-08"
"68",8464981,"1978-08-16"
"69",8464984,"1977-11-16"
"70",8464989,"1976-11-02"
"71",8464994,"1978-06-14"
"72",8464999,"1978-01-09"
"73",8465005,"1977-12-12"
"74",8465009,"1977-03-18"
"75",8465012,"1977-03-22"
"76",8465025,"1978-04-13"
"77",8465042,"1977-09-25"
"78",8465050,"1977-12-16"
"79",8465056,"1977-06-17"
"80",8465058,"1978-09-03"
"81",8465059,"1978-06-13"
"82",8465122,"1976-12-23"
"83",8465166,"1977-04-26"
"84",8465185,"1977-04-23"
"85",8465192,"1977-12-17"
"86",8465200,"1978-03-02"
"87",8465202,"1974-09-02"
"88",8465210,"1977-04-15"
"89",8465914,"1975-10-17"
"90",8465951,"1978-09-07"
"91",8465978,"1977-07-23"
"92",8466138,"1979-07-02"
"93",8466139,"1979-09-15"
"94",8466140,"1978-12-05"
"95",8466141,"1979-04-04"
"96",8466142,"1979-04-17"
"97",8466148,"1979-01-12"
"98",8466149,"1978-12-18"
"99",8466158,"1979-01-23"
"100",8466160,"1979-01-16"
"101",8466181,"1978-11-10"
"102",8466182,"1979-01-10"
"103",8466215,"1977-06-20"
"104",8466251,"1979-05-02"
"105",8466285,"1979-05-23"
"106",8466309,"1978-03-19"
"107",8466333,"1979-03-17"
"108",8466339,"1977-07-23"
"109",8466371,"1973-05-04"
"110",8466378,"1975-06-18"
"111",8466393,"1979-04-07"
"112",8466398,"1979-01-24"
"113",8467096,"1976-07-12"
"114",8467304,"1975-03-10"
"115",8467329,"1980-04-21"
"116",8467330,"1980-08-17"
"117",8467331,"1979-11-06"
"118",8467332,"1980-08-21"
"119",8467334,"1980-05-18"
"120",8467335,"1980-08-05"
"121",8467336,"1980-01-13"
"122",8467338,"1979-11-21"
"123",8467344,"1980-04-19"
"124",8467346,"1980-02-29"
"125",8467351,"1979-12-23"
"126",8467353,"1980-02-18"
"127",8467365,"1980-06-26"
"128",8467370,"1980-06-05"
"129",8467371,"1980-02-10"
"130",8467389,"1980-05-02"
"131",8467391,"1980-01-18"
"132",8467396,"1978-11-06"
"133",8467400,"1980-06-04"
"134",8467407,"1979-01-18"
"135",8467408,"1980-04-07"
"136",8467412,"1980-04-09"
"137",8467423,"1978-09-17"
"138",8467428,"1980-03-26"
"139",8467439,"1974-02-11"
"140",8467452,"1978-12-30"
"141",8467453,"1980-05-04"
"142",8467463,"1976-12-23"
"143",8467466,"1980-07-05"
"144",8467478,"1979-05-04"
"145",8467493,"1979-06-18"
"146",8467496,"1978-12-20"
"147",8467514,"1978-07-20"
"148",8467543,"1978-10-27"
"149",8467545,"1980-03-31"
"150",8467579,"1979-01-30"
"151",8467580,"1977-05-06"
"152",8467831,"1976-05-03"
"153",8467844,"1973-09-02"
"154",8467875,"1980-09-26"
"155",8467876,"1980-09-26"
"156",8467878,"1981-05-07"
"157",8467881,"1981-08-19"
"158",8467890,"1981-03-05"
"159",8467899,"1981-04-19"
"160",8467910,"1981-04-01"
"161",8467913,"1981-01-07"
"162",8467915,"1979-11-07"
"163",8467917,"1980-08-03"
"164",8467925,"1980-08-14"
"165",8467928,"1980-03-26"
"166",8467931,"1980-11-03"
"167",8467943,"1979-12-05"
"168",8467950,"1981-05-21"
"169",8467959,"1980-06-25"
"170",8467967,"1980-11-11"
"171",8467972,"1981-09-07"
"172",8467977,"1981-09-02"
"173",8467988,"1979-12-01"
"174",8468001,"1981-06-11"
"175",8468011,"1980-07-17"
"176",8468038,"1981-05-19"
"177",8468064,"1981-08-29"
"178",8468083,"1980-10-09"
"179",8468085,"1981-06-13"
"180",8468086,"1981-06-16"
"181",8468095,"1979-12-29"
"182",8468101,"1976-08-31"
"183",8468114,"1980-03-12"
"184",8468162,"1979-02-04"
"185",8468166,"1979-10-05"
"186",8468172,"1979-01-18"
"187",8468208,"1980-12-02"
"188",8468213,"1980-02-21"
"189",8468224,"1980-04-10"
"190",8468309,"1977-12-11"
"191",8468434,"1977-08-25"
"192",8468463,"1976-11-26"
"193",8468478,"1978-05-02"
"194",8468481,"1981-09-19"
"195",8468482,"1981-01-21"
"196",8468483,"1982-02-14"
"197",8468485,"1981-10-08"
"198",8468486,"1982-04-18"
"199",8468493,"1981-03-24"
"200",8468498,"1980-09-26"
"201",8468499,"1981-07-27"
"202",8468501,"1982-02-25"
"203",8468504,"1982-04-17"
"204",8468505,"1982-08-19"
"205",8468508,"1981-10-04"
"206",8468509,"1981-01-12"
"207",8468510,"1981-02-19"
"208",8468513,"1982-08-25"
"209",8468515,"1981-03-01"
"210",8468518,"1982-02-05"
"211",8468520,"1981-11-24"
"212",8468524,"1980-06-22"
"213",8468526,"1982-06-24"
"214",8468534,"1975-07-13"
"215",8468535,"1982-07-20"
"216",8468540,"1980-06-19"
"217",8468542,"1981-03-05"
"218",8468575,"1980-08-03"
"219",8468584,"1981-03-30"
"220",8468598,"1976-08-11"
"221",8468611,"1981-06-17"
"222",8468635,"1982-04-06"
"223",8468636,"1980-06-05"
"224",8468639,"1980-11-25"
"225",8468660,"1980-08-10"
"226",8468674,"1982-04-03"
"227",8468685,"1982-03-02"
"228",8468695,"1982-03-18"
"229",8468700,"1982-02-03"
"230",8468704,"1980-07-03"
"231",8468745,"1982-04-22"
"232",8468778,"1982-03-03"
"233",8468789,"1980-08-11"
"234",8468881,"1981-06-30"
"235",8468887,"1982-07-10"
"236",8468927,"1979-12-21"
"237",8469120,"1979-01-03"
"238",8469152,"1976-03-30"
"239",8469454,"1983-04-15"
"240",8469455,"1983-06-13"
"241",8469457,"1983-04-03"
"242",8469459,"1983-03-12"
"243",8469460,"1982-01-19"
"244",8469462,"1983-02-16"
"245",8469465,"1982-12-13"
"246",8469466,"1983-08-13"
"247",8469467,"1982-04-17"
"248",8469469,"1982-05-03"
"249",8469470,"1983-01-27"
"250",8469473,"1983-08-24"
"251",8469474,"1982-11-23"
"252",8469476,"1983-01-29"
"253",8469480,"1983-09-01"
"254",8469483,"1982-03-15"
"255",8469485,"1983-05-04"
"256",8469490,"1981-11-14"
"257",8469492,"1983-07-19"
"258",8469500,"1982-06-08"
"259",8469501,"1983-06-03"
"260",8469506,"1982-11-30"
"261",8469508,"1983-03-02"
"262",8469514,"1982-09-18"
"263",8469516,"1983-03-31"
"264",8469521,"1982-10-31"
"265",8469531,"1982-11-03"
"266",8469534,"1983-04-30"
"267",8469542,"1981-11-16"
"268",8469544,"1981-12-27"
"269",8469547,"1983-02-02"
"270",8469548,"1982-09-28"
"271",8469555,"1982-07-06"
"272",8469569,"1983-06-24"
"273",8469581,"1983-05-16"
"274",8469582,"1982-07-08"
"275",8469591,"1983-04-18"
"276",8469598,"1981-06-16"
"277",8469608,"1982-03-22"
"278",8469619,"1981-07-18"
"279",8469622,"1982-09-30"
"280",8469623,"1977-02-03"
"281",8469626,"1981-06-30"
"282",8469638,"1983-04-01"
"283",8469639,"1983-06-23"
"284",8469664,"1981-12-28"
"285",8469665,"1981-10-01"
"286",8469684,"1983-06-07"
"287",8469685,"1981-11-06"
"288",8469707,"1983-03-24"
"289",8469732,"1980-02-07"
"290",8469752,"1983-06-16"
"291",8469755,"1983-07-12"
"292",8469759,"1980-05-09"
"293",8469760,"1982-12-23"
"294",8469765,"1980-10-13"
"295",8469770,"1983-03-20"
"296",8469779,"1978-11-06"
"297",8469798,"1983-07-28"
"298",8469812,"1982-03-27"
"299",8469820,"1981-01-02"
"300",8469992,"1980-10-03"
"301",8470005,"1978-10-28"
"302",8470018,"1981-08-31"
"303",8470039,"1984-05-16"
"304",8470041,"1984-06-16"
"305",8470047,"1984-03-20"
"306",8470054,"1982-11-26"
"307",8470061,"1984-04-21"
"308",8470063,"1983-01-06"
"309",8470065,"1982-01-06"
"310",8470074,"1984-05-15"
"311",8470085,"1984-09-12"
"312",8470093,"1983-04-11"
"313",8470104,"1983-01-10"
"314",8470105,"1983-10-07"
"315",8470110,"1983-10-09"
"316",8470120,"1984-03-03"
"317",8470121,"1983-05-13"
"318",8470123,"1984-04-15"
"319",8470137,"1983-09-19"
"320",8470140,"1983-11-16"
"321",8470144,"1984-04-24"
"322",8470147,"1983-05-23"
"323",8470151,"1983-09-27"
"324",8470152,"1983-12-05"
"325",8470153,"1984-04-27"
"326",8470156,"1983-04-03"
"327",8470159,"1983-10-19"
"328",8470162,"1983-12-19"
"329",8470169,"1983-12-17"
"330",8470171,"1984-02-11"
"331",8470176,"1984-02-08"
"332",8470180,"1983-02-14"
"333",8470187,"1984-01-19"
"334",8470189,"1983-04-20"
"335",8470192,"1983-10-31"
"336",8470201,"1984-01-04"
"337",8470207,"1983-09-23"
"338",8470216,"1984-06-18"
"339",8470222,"1984-02-21"
"340",8470230,"1984-04-15"
"341",8470232,"1982-02-19"
"342",8470257,"1984-03-01"
"343",8470265,"1984-05-06"
"344",8470268,"1983-10-11"
"345",8470273,"1984-06-04"
"346",8470274,"1983-06-02"
"347",8470280,"1984-01-22"
"348",8470281,"1983-07-16"
"349",8470283,"1984-03-10"
"350",8470289,"1982-12-09"
"351",8470294,"1984-06-27"
"352",8470299,"1983-12-17"
"353",8470301,"1984-02-23"
"354",8470302,"1983-06-22"
"355",8470309,"1983-02-19"
"356",8470310,"1983-09-27"
"357",8470317,"1982-12-10"
"358",8470318,"1984-03-02"
"359",8470320,"1984-02-29"
"360",8470324,"1984-08-14"
"361",8470329,"1984-07-09"
"362",8470358,"1981-04-11"
"363",8470366,"1983-08-11"
"364",8470378,"1984-01-06"
"365",8470543,"1979-09-26"
"366",8470580,"1978-09-03"
"367",8470594,"1984-11-28"
"368",8470595,"1984-10-29"
"369",8470596,"1985-05-29"
"370",8470598,"1984-01-19"
"371",8470599,"1984-12-07"
"372",8470600,"1985-01-21"
"373",8470601,"1985-02-27"
"374",8470602,"1985-04-10"
"375",8470603,"1985-02-03"
"376",8470604,"1985-01-01"
"377",8470606,"1984-11-04"
"378",8470607,"1985-04-20"
"379",8470609,"1985-03-31"
"380",8470610,"1984-07-28"
"381",8470611,"1985-09-07"
"382",8470612,"1985-05-10"
"383",8470613,"1985-03-09"
"384",8470614,"1984-04-27"
"385",8470616,"1984-08-31"
"386",8470617,"1985-02-11"
"387",8470618,"1985-01-05"
"388",8470619,"1984-12-18"
"389",8470621,"1985-05-16"
"390",8470622,"1984-05-01"
"391",8470626,"1985-07-17"
"392",8470630,"1984-12-13"
"393",8470636,"1985-02-07"
"394",8470638,"1985-07-24"
"395",8470640,"1984-09-25"
"396",8470642,"1985-08-14"
"397",8470644,"1984-09-30"
"398",8470645,"1984-12-31"
"399",8470647,"1985-07-10"
"400",8470654,"1985-03-29"
"401",8470655,"1984-05-01"
"402",8470657,"1984-03-26"
"403",8470661,"1985-04-29"
"404",8470662,"1985-01-28"
"405",8470666,"1985-01-28"
"406",8470667,"1985-04-06"
"407",8470672,"1984-07-19"
"408",8470678,"1985-07-05"
"409",8470685,"1984-05-30"
"410",8470687,"1985-09-11"
"411",8470697,"1985-04-24"
"412",8470699,"1978-06-18"
"413",8470700,"1984-07-21"
"414",8470704,"1985-01-23"
"415",8470708,"1985-04-20"
"416",8470714,"1984-01-05"
"417",8470719,"1985-06-26"
"418",8470724,"1985-08-12"
"419",8470729,"1984-10-30"
"420",8470737,"1984-04-24"
"421",8470740,"1983-02-04"
"422",8470750,"1985-01-22"
"423",8470755,"1985-02-04"
"424",8470760,"1985-06-21"
"425",8470774,"1984-10-03"
"426",8470775,"1984-10-05"
"427",8470777,"1984-12-07"
"428",8470778,"1984-02-17"
"429",8470780,"1984-09-29"
"430",8470794,"1984-07-11"
"431",8470798,"1984-08-29"
"432",8470803,"1984-05-25"
"433",8470804,"1983-08-10"
"434",8470816,"1985-07-16"
"435",8470828,"1984-11-05"
"436",8470834,"1985-03-27"
"437",8470838,"1984-07-15"
"438",8470839,"1983-08-09"
"439",8470852,"1983-11-01"
"440",8470854,"1983-11-29"
"441",8470860,"1985-05-13"
"442",8470867,"1985-01-25"
"443",8470871,"1984-05-29"
"444",8470877,"1984-08-10"
"445",8470880,"1985-04-09"
"446",8470886,"1985-02-19"
"447",8470896,"1980-08-08"
"448",8470905,"1981-07-23"
"449",8470920,"1984-03-31"
"450",8470966,"1983-10-03"
"451",8470986,"1984-07-07"
"452",8470988,"1984-04-22"
"453",8471185,"1982-12-28"
"454",8471186,"1981-06-21"
"455",8471187,"1982-01-15"
"456",8471208,"1982-09-28"
"457",8471214,"1985-09-17"
"458",8471215,"1986-07-31"
"459",8471216,"1986-04-04"
"460",8471217,"1985-12-12"
"461",8471218,"1986-08-31"
"462",8471219,"1985-02-13"
"463",8471220,"1985-10-10"
"464",8471222,"1986-02-01"
"465",8471226,"1985-10-30"
"466",8471227,"1986-05-04"
"467",8471228,"1986-07-05"
"468",8471229,"1986-01-16"
"469",8471231,"1986-02-19"
"470",8471232,"1986-07-28"
"471",8471233,"1985-05-13"
"472",8471234,"1986-02-24"
"473",8471236,"1985-10-13"
"474",8471239,"1986-03-18"
"475",8471240,"1986-02-25"
"476",8471241,"1986-06-01"
"477",8471242,"1985-10-12"
"478",8471245,"1986-06-05"
"479",8471246,"1986-01-29"
"480",8471251,"1986-08-30"
"481",8471254,"1986-03-09"
"482",8471260,"1986-02-18"
"483",8471261,"1986-02-21"
"484",8471262,"1985-10-12"
"485",8471266,"1984-11-24"
"486",8471268,"1986-08-15"
"487",8471269,"1985-01-22"
"488",8471273,"1986-04-29"
"489",8471274,"1985-07-30"
"490",8471276,"1986-04-28"
"491",8471279,"1984-10-17"
"492",8471280,"1985-12-24"
"493",8471283,"1984-03-16"
"494",8471284,"1986-06-08"
"495",8471296,"1986-04-25"
"496",8471299,"1986-04-16"
"497",8471301,"1985-11-19"
"498",8471303,"1986-04-21"
"499",8471306,"1986-01-29"
"500",8471309,"1979-12-23"
"501",8471311,"1986-07-15"
"502",8471312,"1986-02-27"
"503",8471314,"1984-09-24"
"504",8471321,"1985-11-29"
"505",8471323,"1984-06-14"
"506",8471326,"1986-03-23"
"507",8471331,"1986-03-12"
"508",8471338,"1985-01-30"
"509",8471339,"1985-03-21"
"510",8471346,"1986-05-13"
"511",8471348,"1986-06-16"
"512",8471352,"1985-03-04"
"513",8471362,"1984-01-31"
"514",8471365,"1986-08-20"
"515",8471371,"1985-06-24"
"516",8471385,"1984-03-29"
"517",8471386,"1984-09-05"
"518",8471388,"1986-06-08"
"519",8471390,"1985-12-14"
"520",8471392,"1986-04-28"
"521",8471402,"1984-04-13"
"522",8471403,"1986-07-01"
"523",8471409,"1985-12-13"
"524",8471418,"1986-05-07"
"525",8471419,"1985-07-11"
"526",8471426,"1985-08-17"
"527",8471428,"1985-06-04"
"528",8471433,"1986-04-28"
"529",8471436,"1985-05-21"
"530",8471450,"1985-04-25"
"531",8471451,"1986-04-24"
"532",8471469,"1982-11-03"
"533",8471474,"1984-01-09"
"534",8471476,"1985-03-06"
"535",8471482,"1985-04-14"
"536",8471483,"1984-12-15"
"537",8471490,"1985-07-15"
"538",8471498,"1986-03-15"
"539",8471504,"1981-12-10"
"540",8471514,"1982-07-08"
"541",8471521,"1984-07-28"
"542",8471634,"1983-03-02"
"543",8471636,"1984-08-28"
"544",8471657,"1984-06-26"
"545",8471663,"1986-12-15"
"546",8471664,"1985-09-17"
"547",8471668,"1987-03-14"
"548",8471669,"1985-12-27"
"549",8471670,"1987-05-24"
"550",8471675,"1987-08-07"
"551",8471676,"1987-03-17"
"552",8471677,"1987-01-13"
"553",8471678,"1986-09-29"
"554",8471679,"1987-08-16"
"555",8471681,"1987-05-19"
"556",8471682,"1987-01-01"
"557",8471683,"1987-03-26"
"558",8471685,"1987-08-24"
"559",8471686,"1987-01-13"
"560",8471689,"1987-06-09"
"561",8471691,"1987-02-20"
"562",8471693,"1987-02-10"
"563",8471694,"1987-01-04"
"564",8471695,"1987-03-10"
"565",8471697,"1987-03-07"
"566",8471698,"1986-12-23"
"567",8471699,"1987-06-14"
"568",8471700,"1987-09-04"
"569",8471701,"1987-06-29"
"570",8471702,"1986-12-06"
"571",8471703,"1987-04-03"
"572",8471705,"1987-06-22"
"573",8471707,"1987-09-03"
"574",8471708,"1987-04-13"
"575",8471709,"1987-03-30"
"576",8471710,"1987-04-27"
"577",8471712,"1987-05-13"
"578",8471714,"1987-08-07"
"579",8471715,"1987-08-31"
"580",8471716,"1987-02-25"
"581",8471717,"1986-10-12"
"582",8471718,"1987-03-23"
"583",8471719,"1986-10-28"
"584",8471724,"1987-04-24"
"585",8471729,"1987-05-02"
"586",8471730,"1986-12-03"
"587",8471733,"1987-04-25"
"588",8471734,"1986-01-21"
"589",8471735,"1986-09-09"
"590",8471741,"1987-08-27"
"591",8471742,"1987-08-08"
"592",8471743,"1987-07-02"
"593",8471748,"1986-09-29"
"594",8471750,"1986-11-21"
"595",8471752,"1987-03-11"
"596",8471760,"1987-01-07"
"597",8471761,"1986-10-27"
"598",8471762,"1987-03-15"
"599",8471766,"1986-05-13"
"600",8471767,"1986-09-27"
"601",8471768,"1987-02-14"
"602",8471769,"1987-06-06"
"603",8471774,"1987-07-28"
"604",8471794,"1987-01-21"
"605",8471804,"1987-07-24"
"606",8471807,"1987-01-29"
"607",8471810,"1987-03-17"
"608",8471811,"1986-09-30"
"609",8471816,"1987-05-15"
"610",8471817,"1987-01-20"
"611",8471822,"1987-02-04"
"612",8471832,"1987-01-14"
"613",8471840,"1987-06-02"
"614",8471842,"1986-04-30"
"615",8471846,"1987-02-23"
"616",8471851,"1986-10-23"
"617",8471853,"1987-05-31"
"618",8471856,"1985-08-20"
"619",8471859,"1987-03-20"
"620",8471862,"1986-03-09"
"621",8471868,"1987-05-02"
"622",8471873,"1986-08-01"
"623",8471879,"1986-12-02"
"624",8471885,"1987-01-18"
"625",8471887,"1987-01-01"
"626",8471912,"1986-12-03"
"627",8471916,"1985-06-27"
"628",8471941,"1987-07-08"
"629",8471956,"1986-07-27"
"630",8471958,"1984-04-29"
"631",8471976,"1986-09-14"
"632",8471978,"1986-03-03"
"633",8471996,"1981-05-12"
"634",8472262,"1983-04-05"
"635",8472355,"1984-09-01"
"636",8472361,"1983-06-20"
"637",8472365,"1981-10-17"
"638",8472368,"1983-12-23"
"639",8472370,"1984-02-23"
"640",8472379,"1982-07-19"
"641",8472382,"1982-10-30"
"642",8472394,"1983-06-08"
"643",8472410,"1983-10-09"
"644",8472424,"1985-04-15"
"645",8473404,"1978-02-13"
"646",8473412,"1987-11-12"
"647",8473414,"1988-04-11"
"648",8473415,"1988-04-04"
"649",8473416,"1988-07-05"
"650",8473419,"1988-05-11"
"651",8473422,"1987-10-31"
"652",8473426,"1987-12-16"
"653",8473431,"1988-03-01"
"654",8473432,"1986-12-20"
"655",8473434,"1986-06-10"
"656",8473440,"1988-04-28"
"657",8473444,"1986-10-13"
"658",8473446,"1988-03-21"
"659",8473449,"1988-04-16"
"660",8473453,"1987-01-08"
"661",8473456,"1988-03-06"
"662",8473459,"1988-07-25"
"663",8473461,"1988-05-29"
"664",8473463,"1987-01-23"
"665",8473465,"1988-08-05"
"666",8473466,"1988-03-17"
"667",8473468,"1988-04-14"
"668",8473473,"1988-06-07"
"669",8473482,"1988-03-16"
"670",8473484,"1988-05-18"
"671",8473485,"1987-10-30"
"672",8473492,"1988-06-07"
"673",8473493,"1988-03-30"
"674",8473499,"1987-01-03"
"675",8473501,"1988-05-19"
"676",8473503,"1988-03-15"
"677",8473504,"1987-11-18"
"678",8473505,"1988-02-03"
"679",8473507,"1987-12-09"
"680",8473511,"1987-02-04"
"681",8473512,"1988-01-12"
"682",8473514,"1987-10-05"
"683",8473523,"1988-06-25"
"684",8473525,"1987-11-10"
"685",8473526,"1988-04-14"
"686",8473533,"1988-09-10"
"687",8473534,"1988-06-02"
"688",8473536,"1988-04-25"
"689",8473537,"1986-01-17"
"690",8473539,"1987-11-05"
"691",8473541,"1988-08-07"
